CM_ÁÎÐÒ_À âèòoê=1107(121107) 3 ôeâpaëÿ 2020ã.s8 Ha÷.Kaäp=0   date=3 2 2020
                 1    ,       2    ,      3    ,      4    ,
     t           MMPTCT      MMPTCT      ÃPAÄ C      MMPTCT  t_ÁOPTOBOE   BÈTOK
 6:37:42.456         ~           ~      25.23614         ~    6:37:44.187  1107
 6:37:42.477         ~     734.78174         ~           ~    6:37:44.208  1107
 6:37:43.198   734.71979         ~           ~           ~    6:37:44.916  1107
 6:37:43.517         ~           ~           ~     740.27441  6:37:45.255  1107
 6:37:43.814         ~           ~      25.23614         ~    6:37:45.553  1107
 6:37:43.835         ~     734.78174         ~           ~    6:37:45.574  1107
 6:37:44.556   739.77777         ~           ~           ~    6:37:46.297  1107
 6:37:44.874         ~           ~           ~     740.27441  6:37:46.617  1107
 6:37:45.171         ~           ~      25.23614         ~    6:37:46.914  1107
 6:37:45.192         ~     734.78174         ~           ~    6:37:46.936  1107
 6:37:45.913   734.71979         ~           ~           ~    6:37:47.659  1107
 6:37:46.232         ~           ~           ~     740.27441  6:37:47.978  1107
 6:37:46.529         ~           ~      25.23614         ~    6:37:48.276  1107
 6:37:46.550         ~     734.78174         ~           ~    6:37:48.297  1107
 6:37:47.271   734.71979         ~           ~           ~    6:37:49.021  1107
 6:37:47.589         ~           ~           ~     740.27441  6:37:49.340  1107
 6:37:47.886         ~           ~      25.23614         ~    6:37:49.638  1107
 6:37:47.907         ~     739.42999         ~           ~    6:37:49.659  1107
 6:37:48.628   734.71979         ~           ~           ~    6:37:50.382  1107
 6:37:48.947         ~           ~           ~     740.27441  6:37:50.702  1107
 6:37:49.244         ~           ~      25.23614         ~    6:37:51.000  1107
 6:37:49.265         ~     734.78174         ~           ~    6:37:52.000  1107
 6:37:49.986   734.71979         ~           ~           ~    6:37:51.708  1107
 6:37:50.304         ~           ~           ~     740.27441  6:37:52.042  1107
 6:37:50.601         ~           ~      25.23614         ~    6:37:52.340  1107
 6:37:50.622         ~     739.42999         ~           ~    6:37:52.361  1107
 6:37:51.343   734.71979         ~           ~           ~    6:37:53.085  1107
 6:37:51.662         ~           ~           ~     740.27441  6:37:53.404  1107
 6:37:51.961         ~           ~      25.23614         ~    6:37:53.702  1107
 6:37:51.982         ~     739.42999         ~           ~    6:37:53.723  1107
 6:37:52.703   734.71979         ~           ~           ~    6:37:54.446  1107
 6:37:53.021         ~           ~           ~     740.27441  6:37:54.765  1107
 6:37:53.318         ~           ~      25.23614         ~    6:37:55.063  1107
 6:37:53.339         ~     734.78174         ~           ~    6:37:55.085  1107
 6:37:54.060   739.77777         ~           ~           ~    6:37:55.808  1107
 6:37:54.379         ~           ~           ~     740.27441  6:37:56.127  1107
 6:37:54.676         ~           ~      25.23614         ~    6:37:56.425  1107
 6:37:54.697         ~     739.42999         ~           ~    6:37:56.446  1107
 6:37:55.418   734.71979         ~           ~           ~    6:37:57.170  1107
 6:37:55.736         ~           ~           ~     740.27441  6:37:57.489  1107
 6:37:56.033         ~           ~      25.23614         ~    6:37:57.787  1107
 6:37:56.054         ~     734.78174         ~           ~    6:37:57.808  1107
 6:37:56.775   739.77777         ~           ~           ~    6:37:58.500  1107
 6:37:57.094         ~           ~           ~     740.27441  6:37:58.812  1107
 6:37:57.391         ~           ~      25.23614         ~    6:37:59.127  1107
 6:37:57.412         ~     739.42999         ~           ~    6:37:59.148  1107
 6:37:58.133   734.71979         ~           ~           ~    6:37:59.872  1107
 6:37:58.451         ~           ~           ~     740.27441  6:38:00.191  1107
 6:37:58.748         ~           ~      25.23614         ~    6:38:00.489  1107
 6:37:58.769         ~     734.78174         ~           ~    6:38:00.510  1107
 6:37:59.490   734.71979         ~           ~           ~    6:38:01.234  1107
 6:37:59.809         ~           ~           ~     740.27441  6:38:01.553  1107
 6:38:00.106         ~           ~      25.23614         ~    6:38:01.851  1107
 6:38:00.127         ~     739.42999         ~           ~    6:38:01.872  1107
 6:38:00.848   739.77777         ~           ~           ~    6:38:02.595  1107
 6:38:01.166         ~           ~           ~     740.27441  6:38:02.914  1107
 6:38:01.463         ~           ~      25.23614         ~    6:38:03.212  1107
 6:38:01.484         ~     734.78174         ~           ~    6:38:03.234  1107
 6:38:02.205   734.71979         ~           ~           ~    6:38:03.957  1107
 6:38:02.524         ~           ~           ~     740.27441  6:38:04.276  1107
 6:38:02.821         ~           ~      25.23614         ~    6:38:04.574  1107
 6:38:02.842         ~     734.78174         ~           ~    6:38:04.595  1107
 6:38:03.563   734.71979         ~           ~           ~    6:38:05.291  1107
 6:38:03.881         ~           ~           ~     740.27441  6:38:05.604  1107
 6:38:04.178         ~           ~      25.23614         ~    6:38:05.895  1107
 6:38:04.199         ~     739.42999         ~           ~    6:38:05.916  1107
 6:38:04.920   734.71979         ~           ~           ~    6:38:06.659  1107
 6:38:05.239         ~           ~           ~     740.27441  6:38:06.978  1107
 6:38:05.536         ~           ~      25.23614         ~    6:38:07.276  1107
 6:38:05.557         ~     739.42999         ~           ~    6:38:07.297  1107
 6:38:06.278   734.71979         ~           ~           ~    6:38:08.021  1107
 6:38:06.596         ~           ~           ~     740.27441  6:38:08.340  1107
 6:38:06.893         ~           ~      25.23614         ~    6:38:08.638  1107
 6:38:06.914         ~     734.78174         ~           ~    6:38:08.659  1107
 6:38:07.636   734.71979         ~           ~           ~    6:38:09.382  1107
 6:38:07.954         ~           ~           ~     740.27441  6:38:09.702  1107
 6:38:08.251         ~           ~      25.23614         ~    6:38:11.000  1107
 6:38:08.272         ~     739.42999         ~           ~    6:38:10.021  1107
 6:38:08.993   739.77777         ~           ~           ~    6:38:10.744  1107
 6:38:09.311         ~           ~           ~     740.27441  6:38:11.063  1107
 6:38:09.608         ~           ~      25.23614         ~    6:38:11.361  1107
 6:38:09.629         ~     734.78174         ~           ~    6:38:11.382  1107
 6:38:10.350   734.71979         ~           ~           ~    6:38:12.083  1107
 6:38:10.669         ~           ~           ~     740.27441  6:38:12.395  1107
 6:38:10.966         ~           ~      25.23614         ~    6:38:12.687  1107
 6:38:10.987         ~     739.42999         ~           ~    6:38:12.708  1107
 6:38:11.710   734.71979         ~           ~           ~    6:38:13.446  1107
 6:38:12.028         ~           ~           ~     740.27441  6:38:13.765  1107
 6:38:12.325         ~           ~      25.23614         ~    6:38:14.063  1107
 6:38:12.346         ~     734.78174         ~           ~    6:38:14.085  1107
 6:38:13.069   734.71979         ~           ~           ~    6:38:14.808  1107
 6:38:13.388         ~           ~           ~     740.27441  6:38:15.127  1107
 6:38:13.685         ~           ~      25.23614         ~    6:38:15.425  1107
 6:38:13.706         ~     734.78174         ~           ~    6:38:15.446  1107
 6:38:14.427   734.71979         ~           ~           ~    6:38:16.170  1107
 6:38:14.745         ~           ~           ~     740.27441  6:38:16.489  1107
 6:38:15.042         ~           ~      25.23614         ~    6:38:16.787  1107
 6:38:15.063         ~     739.42999         ~           ~    6:38:16.808  1107
 6:38:15.784   734.71979         ~           ~           ~    6:38:17.531  1107
 6:38:16.103         ~           ~           ~     740.27441  6:38:17.851  1107
 6:38:16.400         ~           ~      25.23614         ~    6:38:18.125  1107
 6:38:16.421         ~     734.78174         ~           ~    6:38:18.145  1107
 6:38:17.142   734.71979         ~           ~           ~    6:38:18.854  1107
 6:38:17.460         ~           ~           ~     740.27441  6:38:19.191  1107
 6:38:17.757         ~           ~      25.23614         ~    6:38:19.489  1107
 6:38:17.778         ~     734.78174         ~           ~    6:38:19.510  1107
 6:38:18.499   734.71979         ~           ~           ~    6:38:20.234  1107
 6:38:18.818         ~           ~           ~     740.27441  6:38:20.553  1107
 6:38:19.115         ~           ~      25.23614         ~    6:38:20.851  1107
 6:38:19.136         ~     734.78174         ~           ~    6:38:20.872  1107
 6:38:19.857   734.71979         ~           ~           ~    6:38:21.595  1107
 6:38:20.175         ~           ~           ~     740.27441  6:38:21.914  1107
 6:38:20.472         ~           ~      25.23614         ~    6:38:22.212  1107
 6:38:20.493         ~     734.78174         ~           ~    6:38:22.234  1107
 6:38:21.214   734.71979         ~           ~           ~    6:38:22.957  1107
 6:38:21.533         ~           ~           ~     740.27441  6:38:23.276  1107
 6:38:21.830         ~           ~      25.23614         ~    6:38:23.574  1107
 6:38:21.851         ~     734.78174         ~           ~    6:38:23.595  1107
 6:38:22.572   739.77777         ~           ~           ~    6:38:24.319  1107
 6:38:22.890         ~           ~           ~     740.27441  6:38:24.638  1107
 6:38:23.187         ~           ~      25.23614         ~    6:38:24.936  1107
 6:38:23.208         ~     734.78174         ~           ~    6:38:24.957  1107
 6:38:23.929   739.77777         ~           ~           ~    6:38:25.645  1107
 6:38:24.248         ~           ~           ~     740.27441  6:38:25.958  1107
 6:38:24.545         ~           ~      25.23614         ~    6:38:26.276  1107
 6:38:24.566         ~     734.78174         ~           ~    6:38:26.297  1107
 6:38:25.287   734.71979         ~           ~           ~    6:38:27.021  1107
 6:38:25.605         ~           ~           ~     740.27441  6:38:27.340  1107
 6:38:25.902         ~           ~      25.23614         ~    6:38:27.638  1107
 6:38:25.923         ~     739.42999         ~           ~    6:38:27.659  1107
 6:38:26.644   739.77777         ~           ~           ~    6:38:28.382  1107
 6:38:26.963         ~           ~           ~     740.27441  6:38:28.702  1107
 6:38:27.260         ~           ~      25.23614         ~    6:38:30.000  1107
 6:38:27.281         ~     739.42999         ~           ~    6:38:29.021  1107
 6:38:28.002   734.71979         ~           ~           ~    6:38:29.744  1107
 6:38:28.320         ~           ~           ~     740.27441  6:38:30.063  1107
 6:38:28.617         ~           ~      25.23614         ~    6:38:30.361  1107
 6:38:28.638         ~     734.78174         ~           ~    6:38:30.382  1107
 6:38:29.359   739.77777         ~           ~           ~    6:38:31.106  1107
 6:38:29.678         ~           ~           ~     740.27441  6:38:31.425  1107
 6:38:29.975         ~           ~      25.23614         ~    6:38:31.723  1107
 6:38:29.996         ~     734.78174         ~           ~    6:38:31.744  1107
 6:38:30.717   734.71979         ~           ~           ~    6:38:32.437  1107
 6:38:31.035         ~           ~           ~     740.27441  6:38:32.750  1107
 6:38:31.332         ~           ~      25.23614         ~    6:38:33.063  1107
 6:38:31.353         ~     734.78174         ~           ~    6:38:33.085  1107
 6:38:32.074   734.71979         ~           ~           ~    6:38:33.808  1107
 6:38:32.395         ~           ~           ~     740.27441  6:38:34.127  1107
 6:38:32.692         ~           ~      25.23614         ~    6:38:34.425  1107
 6:38:32.713         ~     734.78174         ~           ~    6:38:34.446  1107
 6:38:33.434   734.71979         ~           ~           ~    6:38:35.170  1107
 6:38:33.752         ~           ~           ~     740.27441  6:38:35.489  1107
 6:38:34.049         ~           ~      25.23614         ~    6:38:35.787  1107
 6:38:34.070         ~     734.78174         ~           ~    6:38:35.808  1107
 6:38:34.791   734.71979         ~           ~           ~    6:38:36.531  1107
 6:38:35.110         ~           ~           ~     740.27441  6:38:36.851  1107
 6:38:35.407         ~           ~      25.23614         ~    6:38:37.148  1107
 6:38:35.428         ~     734.78174         ~           ~    6:38:37.170  1107
 6:38:36.149   739.77777         ~           ~           ~    6:38:37.893  1107
 6:38:36.467         ~           ~           ~     740.27441  6:38:38.212  1107
 6:38:36.764         ~           ~      25.23614         ~    6:38:38.510  1107
 6:38:36.785         ~     739.42999         ~           ~    6:38:38.531  1107
 6:38:37.506   734.71979         ~           ~           ~    6:38:39.229  1107
 6:38:37.825         ~           ~           ~     740.27441  6:38:39.541  1107
 6:38:38.122         ~           ~      25.23614         ~    6:38:39.833  1107
 6:38:38.143         ~     734.78174         ~           ~    6:38:39.854  1107
 6:38:38.864   734.71979         ~           ~           ~    6:38:40.595  1107
 6:38:39.182         ~           ~           ~     740.27441  6:38:40.914  1107
 6:38:39.479         ~           ~      25.23614         ~    6:38:41.212  1107
 6:38:39.500         ~     734.78174         ~           ~    6:38:41.234  1107
 6:38:40.221   734.71979         ~           ~           ~    6:38:41.957  1107
 6:38:40.540         ~           ~           ~     740.27441  6:38:42.276  1107
 6:38:40.837         ~           ~      25.23614         ~    6:38:42.574  1107
 6:38:40.858         ~     739.42999         ~           ~    6:38:42.595  1107
 6:38:41.579   734.71979         ~           ~           ~    6:38:43.319  1107
 6:38:41.897         ~           ~           ~     740.27441  6:38:43.638  1107
 6:38:42.194         ~           ~      25.23614         ~    6:38:43.936  1107
 6:38:42.215         ~     734.78174         ~           ~    6:38:43.957  1107
 6:38:42.936   734.71979         ~           ~           ~    6:38:44.680  1107
 6:38:43.255         ~           ~           ~     740.27441  6:38:46.000  1107
 6:38:43.552         ~           ~      25.23614         ~    6:38:45.297  1107
 6:38:43.573         ~     739.42999         ~           ~    6:38:45.319  1107
 6:38:44.294   734.71979         ~           ~           ~    6:38:46.020  1107
 6:38:44.612         ~           ~           ~     740.27441  6:38:46.333  1107
 6:38:44.909         ~           ~      25.23614         ~    6:38:46.625  1107
 6:38:44.930         ~     734.78174         ~           ~    6:38:46.645  1107
 6:38:45.651   734.71979         ~           ~           ~    6:38:47.382  1107
 6:38:45.970         ~           ~           ~     740.27441  6:38:47.702  1107
 6:38:46.267         ~           ~      25.23614         ~    6:38:49.000  1107
 6:38:46.288         ~     734.78174         ~           ~    6:38:48.021  1107
 6:38:47.009   734.71979         ~           ~           ~    6:38:48.744  1107
 6:38:47.327         ~           ~           ~     740.27441  6:38:49.063  1107
 6:38:47.624         ~           ~      25.23614         ~    6:38:49.361  1107
 6:38:47.645         ~     734.78174         ~           ~    6:38:49.382  1107
 6:38:48.366   734.71979         ~           ~           ~    6:38:50.106  1107
 6:38:48.685         ~           ~           ~     740.27441  6:38:50.425  1107
 6:38:48.982         ~           ~      25.23614         ~    6:38:50.723  1107
 6:38:49.003         ~     734.78174         ~           ~    6:38:50.744  1107
 6:38:49.724   734.71979         ~           ~           ~    6:38:51.468  1107
 6:38:50.042         ~           ~           ~     740.27441  6:38:51.787  1107
 6:38:50.339         ~           ~      25.23614         ~    6:38:52.085  1107
 6:38:50.360         ~     739.42999         ~           ~    6:38:52.106  1107
 6:38:51.082   734.71979         ~           ~           ~    6:38:52.829  1107
 6:38:51.400         ~           ~           ~     740.27441  6:38:53.125  1107
 6:38:51.697         ~           ~      25.23614         ~    6:38:53.416  1107
 6:38:51.718         ~     734.78174         ~           ~    6:38:53.437  1107
 6:38:52.441   734.71979         ~           ~           ~    6:38:54.170  1107
 6:38:52.759         ~           ~           ~     740.27441  6:38:54.489  1107
 6:38:53.056         ~           ~      25.23614         ~    6:38:54.787  1107
 6:38:53.077         ~     739.42999         ~           ~    6:38:54.808  1107
 6:38:53.800   734.71979         ~           ~           ~    6:38:55.531  1107
 6:38:54.119         ~           ~           ~     740.27441  6:38:55.851  1107
 6:38:54.416         ~           ~      25.23614         ~    6:38:56.148  1107
 6:38:54.437         ~     734.78174         ~           ~    6:38:56.170  1107
 6:38:55.158   739.77777         ~           ~           ~    6:38:56.893  1107
 6:38:55.476         ~           ~           ~     740.27441  6:38:57.212  1107
 6:38:55.773         ~           ~      25.23614         ~    6:38:57.510  1107
 6:38:55.794         ~     739.42999         ~           ~    6:38:57.531  1107
 6:38:56.515   734.71979         ~           ~           ~    6:38:58.255  1107
 6:38:56.834         ~           ~           ~     740.27441  6:38:58.574  1107
 6:38:57.131         ~           ~      25.23614         ~    6:38:58.872  1107
 6:38:57.152         ~     734.78174         ~           ~    6:38:58.893  1107
 6:38:57.873   739.77777         ~           ~           ~    6:38:59.617  1107
 6:38:58.191         ~           ~           ~     740.27441  6:38:59.936  1107
 6:38:58.488         ~           ~      25.23614         ~    6:39:00.208  1107
 6:38:58.509         ~     739.42999         ~           ~    6:39:00.229  1107
 6:38:59.230   734.71979         ~           ~           ~    6:39:00.937  1107
 6:38:59.549         ~           ~           ~     740.27441  6:39:01.276  1107
 6:38:59.846         ~           ~      25.23614         ~    6:39:01.574  1107
 6:38:59.867         ~     739.42999         ~           ~    6:39:01.595  1107
 6:39:00.588   734.71979         ~           ~           ~    6:39:02.319  1107
 6:39:00.906         ~           ~           ~     740.27441  6:39:02.638  1107
 6:39:01.203         ~           ~      25.23614         ~    6:39:02.936  1107
 6:39:01.224         ~     734.78174         ~           ~    6:39:02.957  1107
 6:39:01.945   734.71979         ~           ~           ~    6:39:03.680  1107
 6:39:02.264         ~           ~           ~     740.27441  6:39:05.000  1107
 6:39:02.561         ~           ~      25.23614         ~    6:39:04.297  1107
 6:39:02.582         ~     739.42999         ~           ~    6:39:04.319  1107
 6:39:03.303   734.71979         ~           ~           ~    6:39:05.042  1107
 6:39:03.621         ~           ~           ~     740.27441  6:39:05.361  1107
 6:39:03.918         ~           ~      25.23614         ~    6:39:05.659  1107
 6:39:03.939         ~     734.78174         ~           ~    6:39:05.680  1107
 6:39:04.660   739.77777         ~           ~           ~    6:39:06.404  1107
 6:39:04.979         ~           ~           ~     740.27441  6:39:06.723  1107
 6:39:05.276         ~           ~      25.23614         ~    6:39:08.000  1107
 6:39:05.297         ~     739.42999         ~           ~    6:39:07.020  1107
 6:39:06.018   734.71979         ~           ~           ~    6:39:07.729  1107
 6:39:06.336         ~           ~           ~     740.27441  6:39:08.063  1107
 6:39:06.633         ~           ~      25.23614         ~    6:39:08.361  1107
 6:39:06.654         ~     734.78174         ~           ~    6:39:08.382  1107
 6:39:07.375   739.77777         ~           ~           ~    6:39:09.106  1107
 6:39:07.694         ~           ~           ~     740.27441  6:39:09.425  1107
 6:39:07.991         ~           ~      25.23614         ~    6:39:09.723  1107
 6:39:08.012         ~     734.78174         ~           ~    6:39:09.744  1107
 6:39:08.733   734.71979         ~           ~           ~    6:39:10.468  1107
 6:39:09.051         ~           ~           ~     740.27441  6:39:10.787  1107
 6:39:09.348         ~           ~      25.23614         ~    6:39:11.085  1107
 6:39:09.369         ~     739.42999         ~           ~    6:39:11.106  1107
 6:39:10.090   739.77777         ~           ~           ~    6:39:11.829  1107
 6:39:10.409         ~           ~           ~     740.27441  6:39:12.148  1107
 6:39:10.706         ~           ~      25.23614         ~    6:39:12.446  1107
 6:39:10.727         ~     734.78174         ~           ~    6:39:12.468  1107
 6:39:11.448   734.71979         ~           ~           ~    6:39:13.191  1107
 6:39:11.766         ~           ~           ~     740.27441  6:39:13.510  1107
 6:39:12.063         ~           ~      25.23614         ~    6:39:13.808  1107
 6:39:12.084         ~     734.78174         ~           ~    6:39:13.829  1107
 6:39:12.805   739.77777         ~           ~           ~    6:39:14.520  1107
 6:39:13.124         ~           ~           ~     740.27441  6:39:14.833  1107
 6:39:13.421         ~           ~      25.23614         ~    6:39:15.148  1107
 6:39:13.442         ~     734.78174         ~           ~    6:39:15.170  1107
 6:39:14.165   734.71979         ~           ~           ~    6:39:15.893  1107
 6:39:14.483         ~           ~           ~     740.27441  6:39:16.212  1107
 6:39:14.780         ~           ~      25.23614         ~    6:39:16.510  1107
 6:39:14.801         ~     739.42999         ~           ~    6:39:16.531  1107
 6:39:15.522   734.71979         ~           ~           ~    6:39:17.255  1107
 6:39:15.841         ~           ~           ~     740.27441  6:39:17.574  1107
 6:39:16.138         ~           ~      25.23614         ~    6:39:17.872  1107
 6:39:16.159         ~     739.42999         ~           ~    6:39:17.893  1107
 6:39:16.880   734.71979         ~           ~           ~    6:39:18.617  1107
 6:39:17.198         ~           ~           ~     740.27441  6:39:18.936  1107
 6:39:17.495         ~           ~      25.23614         ~    6:39:19.234  1107
 6:39:17.516         ~     734.78174         ~           ~    6:39:19.255  1107
 6:39:18.237   734.71979         ~           ~           ~    6:39:19.978  1107
 6:39:18.556         ~           ~           ~     740.27441  6:39:20.297  1107
 6:39:18.853         ~           ~      25.23614         ~    6:39:20.595  1107
 6:39:18.874         ~     739.42999         ~           ~    6:39:20.617  1107
 6:39:19.595   734.71979         ~           ~           ~    6:39:21.312  1107
 6:39:19.913         ~           ~           ~     740.27441  6:39:21.625  1107
 6:39:20.210         ~           ~      25.23614         ~    6:39:21.916  1107
 6:39:20.231         ~     734.78174         ~           ~    6:39:21.937  1107
 6:39:20.952   734.71979         ~           ~           ~    6:39:22.680  1107
 6:39:21.271         ~           ~           ~     740.27441  6:39:24.000  1107
 6:39:21.568         ~           ~      25.23614         ~    6:39:23.297  1107
 6:39:21.589         ~     734.78174         ~           ~    6:39:23.319  1107
 6:39:22.310   739.77777         ~           ~           ~    6:39:24.042  1107
 6:39:22.628         ~           ~           ~     740.27441  6:39:24.361  1107
 6:39:22.925         ~           ~      25.23614         ~    6:39:24.659  1107
 6:39:22.946         ~     739.42999         ~           ~    6:39:24.680  1107
 6:39:23.667   734.71979         ~           ~           ~    6:39:25.404  1107
 6:39:23.986         ~           ~           ~     740.27441  6:39:25.723  1107
 6:39:24.283         ~           ~      25.23614         ~    6:39:26.021  1107
 6:39:24.304         ~     739.42999         ~           ~    6:39:26.042  1107
 6:39:25.025   734.71979         ~           ~           ~    6:39:26.765  1107
 6:39:25.343         ~           ~           ~     740.27441  6:39:27.085  1107
 6:39:25.640         ~           ~      25.23614         ~    6:39:27.382  1107
 6:39:25.661         ~     734.78174         ~           ~    6:39:27.404  1107
 6:39:26.382   739.77777         ~           ~           ~    6:39:28.104  1107
 6:39:26.701         ~           ~           ~     740.27441  6:39:28.416  1107
 6:39:26.998         ~           ~      25.23614         ~    6:39:28.708  1107
 6:39:27.019         ~     734.78174         ~           ~    6:39:28.729  1107
 6:39:27.740   734.71979         ~           ~           ~    6:39:29.468  1107
 6:39:28.058         ~           ~           ~     740.27441  6:39:29.787  1107
 6:39:28.355         ~           ~      25.23614         ~    6:39:30.085  1107
 6:39:28.376         ~     734.78174         ~           ~    6:39:30.106  1107
 6:39:29.097   734.71979         ~           ~           ~    6:39:30.829  1107
 6:39:29.416         ~           ~           ~     740.27441  6:39:31.148  1107
 6:39:29.713         ~           ~      25.23614         ~    6:39:31.446  1107
 6:39:29.734         ~     734.78174         ~           ~    6:39:31.468  1107
 6:39:30.455   739.77777         ~           ~           ~    6:39:32.191  1107
 6:39:30.773         ~           ~           ~     740.27441  6:39:32.510  1107
 6:39:31.070         ~           ~      25.23614         ~    6:39:32.808  1107
 6:39:31.091         ~     734.78174         ~           ~    6:39:32.829  1107
 6:39:31.812   734.71979         ~           ~           ~    6:39:33.553  1107
 6:39:32.131         ~           ~           ~     740.27441  6:39:33.872  1107
 6:39:32.428         ~           ~      25.23614         ~    6:39:34.170  1107
 6:39:32.449         ~     734.78174         ~           ~    6:39:34.191  1107
 6:39:33.170   734.71979         ~           ~           ~    6:39:34.914  1107
 6:39:33.488         ~           ~           ~     740.27441  6:39:35.208  1107
 6:39:33.785         ~           ~      25.23614         ~    6:39:35.500  1107
 6:39:33.806         ~     734.78174         ~           ~    6:39:35.520  1107
 6:39:34.529   734.71979         ~           ~           ~    6:39:36.255  1107
 6:39:34.848         ~           ~           ~     740.27441  6:39:36.574  1107
 6:39:35.145         ~           ~      25.23614         ~    6:39:36.872  1107
 6:39:35.166         ~     739.42999         ~           ~    6:39:36.893  1107
 6:39:35.887   734.71979         ~           ~           ~    6:39:37.617  1107
 6:39:36.205         ~           ~           ~     740.27441  6:39:37.936  1107
 6:39:36.502         ~           ~      25.23614         ~    6:39:38.234  1107
 6:39:36.523         ~     734.78174         ~           ~    6:39:38.255  1107
 6:39:37.244   734.71979         ~           ~           ~    6:39:38.978  1107
 6:39:37.563         ~           ~           ~     740.27441  6:39:39.297  1107
 6:39:37.860         ~           ~      25.23614         ~    6:39:39.595  1107
 6:39:37.881         ~     734.78174         ~           ~    6:39:39.617  1107
 6:39:38.602   734.71979         ~           ~           ~    6:39:40.340  1107
 6:39:38.920         ~           ~           ~     740.27441  6:39:40.659  1107
 6:39:39.217         ~           ~      25.23614         ~    6:39:40.957  1107
 6:39:39.238         ~     734.78174         ~           ~    6:39:40.978  1107
 6:39:39.959   734.71979         ~           ~           ~    6:39:41.666  1107
 6:39:40.278         ~           ~           ~     740.27441  6:39:43.000  1107
 6:39:40.575         ~           ~      25.23614         ~    6:39:42.297  1107
 6:39:40.596         ~     739.42999         ~           ~    6:39:42.319  1107
 6:39:41.317   734.71979         ~           ~           ~    6:39:43.042  1107
 6:39:41.635         ~           ~           ~     740.27441  6:39:43.361  1107
 6:39:41.932         ~           ~      25.23614         ~    6:39:43.659  1107
 6:39:41.953         ~     734.78174         ~           ~    6:39:43.680  1107
 6:39:42.674   734.71979         ~           ~           ~    6:39:44.404  1107
 6:39:42.993         ~           ~           ~     740.27441  6:39:44.723  1107
 6:39:43.290         ~           ~      25.23614         ~    6:39:45.021  1107
 6:39:43.311         ~     734.78174         ~           ~    6:39:45.042  1107
 6:39:44.032   739.77777         ~           ~           ~    6:39:45.765  1107
 6:39:44.350         ~           ~           ~     740.27441  6:39:46.085  1107
 6:39:44.647         ~           ~      25.23614         ~    6:39:46.382  1107
 6:39:44.668         ~     739.42999         ~           ~    6:39:46.404  1107
 6:39:45.390   734.71979         ~           ~           ~    6:39:47.127  1107
 6:39:45.708         ~           ~           ~     740.27441  6:39:47.446  1107
 6:39:46.005         ~           ~      25.23614         ~    6:39:47.744  1107
 6:39:46.026         ~     739.42999         ~           ~    6:39:47.765  1107
 6:39:46.747   734.71979         ~           ~           ~    6:39:48.458  1107
 6:39:47.065         ~           ~           ~     740.27441  6:39:48.770  1107
 6:39:47.362         ~           ~      25.23614         ~    6:39:49.085  1107
 6:39:47.383         ~     739.42999         ~           ~    6:39:49.106  1107
 6:39:48.104   734.71979         ~           ~           ~    6:39:49.829  1107
 6:39:48.423         ~           ~           ~     740.27441  6:39:50.148  1107
 6:39:48.720         ~           ~      25.23614         ~    6:39:50.446  1107
 6:39:48.741         ~     734.78174         ~           ~    6:39:50.468  1107
 6:39:49.462   739.77777         ~           ~           ~    6:39:51.191  1107
 6:39:49.780         ~           ~           ~     740.27441  6:39:51.510  1107
 6:39:50.077         ~           ~      25.23614         ~    6:39:51.808  1107
 6:39:50.098         ~     739.42999         ~           ~    6:39:51.829  1107
 6:39:50.819   734.71979         ~           ~           ~    6:39:52.553  1107
 6:39:51.138         ~           ~           ~     740.27441  6:39:52.872  1107
 6:39:51.435         ~           ~      25.23614         ~    6:39:53.170  1107
 6:39:51.456         ~     734.78174         ~           ~    6:39:53.191  1107
 6:39:52.177   739.77777         ~           ~           ~    6:39:53.914  1107
 6:39:52.495         ~           ~           ~     740.27441  6:39:54.234  1107
 6:39:52.792         ~           ~      25.23614         ~    6:39:54.531  1107
 6:39:52.813         ~     734.78174         ~           ~    6:39:54.553  1107
 6:39:53.534   734.71979         ~           ~           ~    6:39:55.250  1107
 6:39:53.853         ~           ~           ~     740.27441  6:39:55.562  1107
 6:39:54.152         ~           ~      25.23614         ~    6:39:55.854  1107
 6:39:54.173         ~     734.78174         ~           ~    6:39:55.875  1107
 6:39:54.894   734.71979         ~           ~           ~    6:39:56.617  1107
 6:39:55.214         ~           ~           ~     740.27441  6:39:56.936  1107
 6:39:55.511         ~           ~      25.23614         ~    6:39:57.234  1107
 6:39:55.532         ~     734.78174         ~           ~    6:39:57.255  1107
 6:39:56.253   734.71979         ~           ~           ~    6:39:57.978  1107
 6:39:56.572         ~           ~           ~     740.27441  6:39:58.297  1107
 6:39:56.869         ~           ~      25.46256         ~    6:39:58.595  1107
 6:39:56.890         ~     739.42999         ~           ~    6:39:58.617  1107
 6:39:57.611   734.71979         ~           ~           ~    6:39:59.340  1107
 6:39:57.929         ~           ~           ~     740.27441  6:39:59.659  1107
 6:39:58.226         ~           ~      25.23614         ~    6:39:59.957  1107
 6:39:58.247         ~     734.78174         ~           ~    6:39:59.978  1107
 6:39:58.968   734.71979         ~           ~           ~    6:40:00.702  1107
 6:39:59.287         ~           ~           ~     740.27441  6:40:01.021  1107
 6:39:59.584         ~           ~      25.23614         ~    6:40:01.319  1107
 6:39:59.605         ~     734.78174         ~           ~    6:40:01.340  1107
 6:40:00.326   734.71979         ~           ~           ~    6:40:02.041  1107
