CM_ÁÎÐÒ_À âèòoê=1107(121107) 3 ôeâpaëÿ 2020ã.s8 Ha÷.Kaäp=0   date=3 2 2020
                 1    ,       2    ,      3    ,      4    ,
     t           MMPTCT      MMPTCT      ÃPAÄ C      MMPTCT  t_ÁOPTOBOE   BÈTOK
 6:32:31.539         ~           ~      25.23614         ~    6:32:33.312  1107
 6:32:31.560         ~     734.78174         ~           ~    6:32:33.333  1107
 6:32:32.281   734.71979         ~           ~           ~    6:32:34.063  1107
 6:32:32.599         ~           ~           ~     740.27441  6:32:34.382  1107
 6:32:32.896         ~           ~      25.23614         ~    6:32:34.680  1107
 6:32:32.917         ~     734.78174         ~           ~    6:32:34.702  1107
 6:32:33.638   734.71979         ~           ~           ~    6:32:35.425  1107
 6:32:33.957         ~           ~           ~     740.27441  6:32:35.744  1107
 6:32:34.254         ~           ~      25.23614         ~    6:32:36.042  1107
 6:32:34.275         ~     734.78174         ~           ~    6:32:36.063  1107
 6:32:34.996   734.71979         ~           ~           ~    6:32:36.787  1107
 6:32:35.314         ~           ~           ~     740.27441  6:32:37.106  1107
 6:32:35.611         ~           ~      25.23614         ~    6:32:37.404  1107
 6:32:35.632         ~     734.78174         ~           ~    6:32:37.425  1107
 6:32:36.353   734.71979         ~           ~           ~    6:32:38.148  1107
 6:32:36.672         ~           ~           ~     740.27441  6:32:38.468  1107
 6:32:36.969         ~           ~      25.23614         ~    6:32:38.765  1107
 6:32:36.990         ~     734.78174         ~           ~    6:32:38.787  1107
 6:32:37.711   734.71979         ~           ~           ~    6:32:39.510  1107
 6:32:38.029         ~           ~           ~     740.27441  6:32:39.829  1107
 6:32:38.326         ~           ~      25.23614         ~    6:32:40.104  1107
 6:32:38.347         ~     739.42999         ~           ~    6:32:40.125  1107
 6:32:39.068   739.77777         ~           ~           ~    6:32:40.833  1107
 6:32:39.387         ~           ~           ~     740.27441  6:32:41.170  1107
 6:32:39.684         ~           ~      25.23614         ~    6:32:41.468  1107
 6:32:39.705         ~     734.78174         ~           ~    6:32:41.489  1107
 6:32:40.426   734.71979         ~           ~           ~    6:32:42.212  1107
 6:32:40.744         ~           ~           ~     740.27441  6:32:42.531  1107
